ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0479,3.1316,7.9009,0.2828,1.2445,9.7232,1.1685,2.021,-1.9759,-0.4936,-0.4007,-0.0684,1,24.81,-16.06,-48.94,249.75,-7.29,-1.67,5,44.683,48.1635,11.558943,,NaN,,20.76,,0 / 17,"$GNGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2F::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,,30,70,61,*43::$GPGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*31::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164733.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*06::$GPGGA,164733.77,4809.8120,N,01133.5356,E,0,,100.000,0.000,M,,M,0,*4D::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",14,2018-11-12 17:47:33:970
-0.182,3.1316,6.924,0.4355,2.0203,9.5863,-0.3669,0.7353,-2.3392,0.6597,-0.463,-0.8503,0,27.19,-11.75,-49,266.26,-11.89,-2.6,5,61.137,48.1635,11.558943,,NaN,,20.76,,0 / 17,"$GNGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2F::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,,30,70,61,*43::$GPGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*31::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164733.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*06::$GPGGA,164733.77,4809.8120,N,01133.5356,E,0,,100.000,0.000,M,,M,0,*4D::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",514,2018-11-12 17:47:34:470
-0.4501,2.5474,9.2512,0.1757,2.7528,9.4107,-0.9897,-0.1736,0.3469,0.2541,-0.1197,0.1026,0,26.88,-15,-48.44,267.81,-16.3,-1.07,5,39.975,48.1635,11.558943,,NaN,,20.76,,0 / 17,"$GNGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2F::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,,30,70,61,*43::$GPGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*31::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164733.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*06::$GPGGA,164733.77,4809.8120,N,01133.5356,E,0,,100.000,0.000,M,,M,0,*4D::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",1014,2018-11-12 17:47:34:970
1.3791,3.2082,10.4291,1.2855,3.4695,9.0818,0.487,0.1344,1.8504,0.2969,0.7159,-0.5058,0,20.38,-18.31,-48.44,267.81,-20.72,-8.06,5,39.69,48.1635,11.558943,,NaN,,20.76,,0 / 17,"$GNGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2F::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,,30,70,61,*43::$GPGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*31::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164734.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*01::$GPGGA,164734.77,4809.8120,N,01133.5356,E,0,,100.000,0.000,M,,M,0,*4A::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",1514,2018-11-12 17:47:35:470
0.8715,4.8363,12.153,0.5028,4.8068,8.5329,-0.7264,-0.6065,0.4055,-0.011,-0.1173,0.4557,0,25.13,-22.25,-43.19,268.62,-27.16,-3.43,5,38.44,48.1635,11.558943,,NaN,,20.76,,17-Jan,"$GNGSA,A,1,5,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*1A::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,,30,70,61,*43::$GPGSA,A,1,5,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*04::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164735.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*00::$GPGGA,164735.77,4809.8120,N,01133.5356,E,0,1,100.000,0.000,M,,M,0,*7A::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",2014,2018-11-12 17:47:35:970
1.561,4.8842,10.1418,1.0726,4.6058,8.591,-0.2023,-0.3676,3.6761,-0.5974,-0.1564,-0.2639,0,19.75,-20.37,-45.19,274.84,-28.01,-7.12,5,38.406,48.1635,11.558943,,NaN,,20.76,,17-Jan,"$GNGSA,A,1,5,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*1A::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,,30,70,61,*43::$GPGSA,A,1,5,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*04::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164735.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*00::$GPGGA,164735.77,4809.8120,N,01133.5356,E,0,1,100.000,0.000,M,,M,0,*7A::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",2514,2018-11-12 17:47:36:470
0.4214,4.7501,8.4946,0.2944,4.4727,8.7222,-0.3383,1.2085,1.2895,0.1014,0.4533,0.3091,0,25.38,-22.31,-40.81,264.53,-26.04,-4.58,5,39.708,48.1635,11.558943,,NaN,,20.76,,17-Feb,"$GNGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*18::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,20,30,70,61,20*43::$GPGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*06::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164736.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*03::$GPGGA,164736.77,4809.8120,N,01133.5356,E,0,2,100.000,0.000,M,,M,0,*7A::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",3014,2018-11-12 17:47:36:970
1.2833,4.6831,10.9367,1.0404,4.537,8.6314,0.5986,0.5138,-0.1623,0.3128,-0.4032,-0.0415,0,22.13,-24.25,-39.87,256.62,-24.58,-4.83,5,36.768,48.1635,11.558943,,NaN,,20.76,,17-Feb,"$GNGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*18::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,20,30,70,61,20*43::$GPGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*06::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164736.77,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*03::$GPGGA,164736.77,4809.8120,N,01133.5356,E,0,2,100.000,0.000,M,,M,0,*7A::$GLGSV,5,5,20,75,86,90,,76,42,215,,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",3515,2018-11-12 17:47:37:471
0.8236,6.5122,9.7013,0.558,5.2721,8.25,0.1917,0.5778,-0.8137,0.1918,0.1833,-0.1723,0,25.94,-22.19,-37.69,263.7,-27.29,-4.96,5,39.783,48.1635,11.558943,,NaN,,20.76,,17-Mar,"$GNGSA,A,1,5,13,66,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*18::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,20,30,70,61,20*43::$GPGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*06::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,66,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164737.78,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*0D::$GPGGA,164737.78,4809.8120,N,01133.5356,E,0,3,100.000,0.000,M,,M,0,*75::$GLGSV,5,5,20,75,86,90,31,76,42,215,20,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",4014,2018-11-12 17:47:37:970
1.3216,5.4109,7.8434,-0.0386,6.1544,7.6349,-0.8801,-1.4505,-1.848,-0.2859,-0.3005,-0.011,0,27.25,-24.56,-33.25,267.26,-36.24,-2.46,5,40.585,48.1635,11.558943,,NaN,,20.76,,17-Mar,"$GNGSA,A,1,5,13,66,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*18::$GPGSV,5,3,20,24,5,,,27,4,23,,28,45,140,20,30,70,61,20*43::$GPGSA,A,1,5,13,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*06::$QZGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GLGSA,A,1,66,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*2D::$GPRMC,164737.78,V,4809.8120,N,01133.5356,E,0.000,0.000,121118,,E,N*0D::$GPGGA,164737.78,4809.8120,N,01133.5356,E,0,3,100.000,0.000,M,,M,0,*75::$GLGSV,5,5,20,75,86,90,31,76,42,215,20,82,6,325,,83,8,11,*68::$BDGSA,A,1,,,,,,,,,,,,,,,,,,,,,100.000,100.000,100.000*20",4514,2018-11-12 17:47:38:470
